codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
267747,"SINVASTATINA, DOSAGEM:20 MG",100.0,90,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA",GEOLAB INDUSTRIA FARMACEUTICA S/A,MUNICIPIO DE NAZARE DO PIAUI,2024,0.08,1250.0
292344,"SULFATO FERROSO, DOSAGEM FERRO:40MG DE FERRO II",50.0,2,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,BELFAR LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.04,1250.0
267778,"PARACETAMOL, DOSAGEM COMPRIMIDO:500 MG",110.0,120,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA",GEOLAB INDUSTRIA FARMACEUTICA S/A,MUNICIPIO DE NAZARE DO PIAUI,2024,0.09,1222.2222222222222
627547,"&#193;CIDO ACETILSALIC&#205;LICO, 100 MG, COMPRIMIDO MASTIG&#193;VEL",59.85,3,JSP ASSESSORIA E GESTAO CONTABIL LTDA,EMS SIGMA PHARMA LTDA,FUNDO MUNICIPAL DE SAUDE,2025,0.05,1197.0
267728,"NIFEDIPINO, DOSAGEM:10 MG",155.0,50,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA",GEOLAB INDUSTRIA FARMACEUTICA S/A,MUNICIPIO DE NAZARE DO PIAUI,2024,0.13,1192.3076923076924
267745,"SINVASTATINA, DOSAGEM:40 MG",166.0,40,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA",GEOLAB INDUSTRIA FARMACEUTICA S/A,MUNICIPIO DE NAZARE DO PIAUI,2024,0.14,1185.7142857142856
292249,"METOTREXATO, DOSAGEM:25 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL",31783.18,1263,NOVARTIS BIOCIENCIAS SA,NOVARTIS BIOCIENCIAS SA,SECRETARIA DE ESTADO DA SAUDE,2020,27.55,1153.6544464609801
268162,"MICONAZOL NITRATO, DOSAGEM:2%, APRESENTAÇÃO:CREME VAGINAL",7195.0,50,"PRATI, DONADUZZI & CIA LTDA","PRATI, DONADUZZI & CIA LTDA",FUNDO MUNICIPAL DE SAUDE DE BASTOS,2024,6.24,1153.0448717948718
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM:100 MG",45.0,2,EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA,IMEC-INDUSTRIA DE MEDICAMENTOS CUSTODIA LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.04,1125.0
282580,"ETANOLAMINA OLEATO, CONCENTRAÇÃO:5%, TIPO USO:SOLUÇÃO INJETÁVEL",6970.0,780,UNI HOSPITALAR LTDA,FARMOQUIMICA S A,SECRETARIA DA SAUDE,2023,6.25,1115.2
